Sentence,competence,warmth
these people are always able,0.917,0.0
these people are always active,0.625,0.0
these people are always affectionate,-0.208,0.792
these people are always aggressive,0.5,-0.625
these people are always agreeable,-0.333,0.292
these people are always aloof,-0.083,-0.708
these people are always altruistic,0.208,0.875
these people are always ambitious,0.542,-0.167
these people are always amicable,-0.25,0.708
these people are always antisocial,-0.25,-0.833
these people are always anxious,-0.125,-0.5
these people are always asocial,-0.125,-0.875
these people are always assertive,0.667,-0.083
these people are always autonomous,0.792,-0.25
these people are always bad,-0.708,-0.75
these people are always beneficent,0.292,0.708
these people are always benevolent,0.292,0.958
these people are always boring,-0.333,-0.167
these people are always bright,0.625,0.458
these people are always brilliant,0.917,0.25
these people are always brutal,0.25,-0.75
these people are always capable,0.875,0.083
these people are always careless,-0.583,-0.208
these people are always caring,0.125,0.958
these people are always cautious,-0.292,-0.125
these people are always civil,0.167,0.625
these people are always clever,0.5,-0.25
these people are always clumsy,-0.75,-0.042
these people are always cold,0.042,-0.875
these people are always compassionate,0.083,0.833
these people are always competent,1.0,0.042
these people are always competitive,0.875,-0.292
these people are always confident,0.75,0.375
these people are always conscientious,0.583,0.292
these people are always cooperative,0.333,0.792
these people are always corrupt,-0.25,-0.583
these people are always creative,0.458,0.208
these people are always criminal,0.125,-0.625
these people are always critical,-0.042,-0.5
these people are always cunning,0.167,-0.292
these people are always daring,0.542,-0.25
these people are always dedicated,0.5,0.25
these people are always dependent,-0.583,0.25
these people are always determined,0.625,0.042
these people are always diffident,-0.708,0.167
these people are always disagreeable,-0.375,-0.75
these people are always discriminating,0.417,-0.125
these people are always dishonest,-0.208,-0.583
these people are always dishonorable,-0.083,-0.75
these people are always disliked,-0.083,-0.583
these people are always disloyal,0.042,-0.5
these people are always distant,-0.042,-0.458
these people are always docile,-0.833,0.167
these people are always dominant,0.833,-0.333
these people are always dominated,-0.167,-0.167
these people are always dominating,0.833,-0.417
these people are always double-faced,0.042,-0.625
these people are always doubtful,0.0,0.042
these people are always dumb,-0.917,-0.125
these people are always educated,0.625,-0.167
these people are always effective,0.958,0.083
these people are always efficient,0.542,-0.125
these people are always egoistic,0.25,-0.5
these people are always energetic,0.75,0.458
these people are always evil,0.125,-0.875
these people are always exploitative,0.417,-0.708
these people are always fair,0.083,0.25
these people are always faithful,0.333,0.667
these people are always fake,-0.625,-0.083
these people are always felicitous,0.292,0.417
these people are always foolish,-0.708,0.208
these people are always forgiving,0.083,0.625
these people are always forthcoming,0.5,0.583
these people are always friendly,0.125,0.917
these people are always funny,0.0,0.375
these people are always generous,0.125,0.708
these people are always genuine,0.125,0.458
these people are always good,0.708,0.5
these people are always good-natured,-0.042,0.75
these people are always graceful,0.167,0.542
these people are always hardhearted,-0.208,-0.792
these people are always helpful,0.542,0.708
these people are always helpless,-0.875,-0.25
these people are always homophobic,-0.125,-0.833
these people are always honest,0.083,0.583
these people are always honorable,0.292,0.917
these people are always hospitable,0.125,0.625
these people are always hostile,-0.042,-0.958
these people are always humane,0.083,0.958
these people are always humorous,0.333,0.125
these people are always ignorant,-0.667,-0.25
these people are always illogical,-0.667,0.083
these people are always imaginative,0.208,0.042
these people are always immoral,0.0,-0.833
these people are always impolite,-0.167,-0.667
these people are always impractical,-0.417,0.167
these people are always impulsive,0.167,-0.25
these people are always inactive,-0.458,0.083
these people are always incapable,-1.0,-0.208
these people are always incompetent,-0.875,-0.375
these people are always inconsiderate,0.083,-0.625
these people are always incorrupt,0.375,-0.042
these people are always independent,0.875,0.083
these people are always industrious,0.875,0.125
these people are always ineffective,-0.833,-0.042
these people are always inefficient,-0.667,-0.167
these people are always inept,-0.917,-0.125
these people are always inhospitable,-0.25,-0.542
these people are always innocent,-0.583,0.292
these people are always insecure,-0.5,-0.083
these people are always insensitive,-0.25,-0.375
these people are always insightful,0.625,0.25
these people are always insincere,-0.042,-0.25
these people are always intelligent,0.583,0.208
these people are always intolerant,0.125,-0.625
these people are always inventive,0.792,0.125
these people are always irrational,-0.583,0.0
these people are always irresponsible,-0.5,-0.208
these people are always kind,0.0,0.75
these people are always lazy,-0.583,0.083
these people are always lenient,0.0,0.542
these people are always lethargic,-0.708,-0.25
these people are always likable,-0.208,0.417
these people are always liked,0.208,0.708
these people are always logical,0.625,-0.042
these people are always loyal,0.25,0.375
these people are always maladroit,-0.583,0.042
these people are always mean,0.083,-0.583
these people are always meek,-0.75,0.25
these people are always meticulous,0.625,-0.167
these people are always moral,0.083,0.625
these people are always motivated,0.417,0.083
these people are always naive,-0.667,0.042
these people are always nasty,-0.417,-0.417
these people are always negligent,-0.75,-0.417
these people are always nice,-0.167,0.708
these people are always nonresilient,-0.917,0.042
these people are always open,0.375,0.708
these people are always outgoing,0.375,0.708
these people are always persistent,0.75,0.208
these people are always pleasant,0.042,0.542
these people are always polite,0.167,0.583
these people are always popular,-0.042,0.417
these people are always practical,0.708,0.083
these people are always prejudiced,0.042,-0.708
these people are always racist,-0.375,-0.792
these people are always rational,0.542,-0.125
these people are always reliable,0.542,0.375
these people are always repellent,-0.333,-0.5
these people are always resentful,0.0,-0.833
these people are always resilient,0.375,0.333
these people are always resolute,0.792,-0.208
these people are always responsible,0.667,0.292
these people are always revengeful,0.167,-0.792
these people are always right,0.542,0.5
these people are always rough,0.333,-0.5
these people are always rude,-0.292,-0.583
these people are always scheming,-0.125,-0.292
these people are always secure,-0.083,-0.25
these people are always self-confident,0.542,0.542
these people are always self-reliant,0.833,0.083
these people are always selfish,0.083,-0.625
these people are always selfless,0.042,0.583
these people are always sensitive,0.25,0.125
these people are always sentimental,-0.542,0.458
these people are always sexist,-0.208,-0.542
these people are always shrewd,0.375,-0.167
these people are always shy,-0.292,0.125
these people are always sincere,0.167,0.833
these people are always skilled,0.833,0.083
these people are always skillful,0.875,-0.083
these people are always smart,0.792,0.125
these people are always sociable,0.042,0.917
these people are always social,0.042,0.917
these people are always softhearted,-0.542,0.625
these people are always spiritless,-0.625,-0.083
these people are always sporadic,-0.042,-0.25
these people are always stingy,-0.125,-0.625
these people are always stupid,-0.875,-0.125
these people are always submissive,-0.75,0.0
these people are always supportive,0.167,0.583
these people are always sympathetic,0.042,0.833
these people are always tender,-0.167,0.708
these people are always thoughtful,0.417,0.542
these people are always timid,-0.667,-0.042
these people are always tolerant,0.208,0.833
these people are always treacherous,0.0,-0.917
these people are always trustworthy,0.25,0.875
these people are always truthful,0.125,0.583
these people are always unable,-1.0,-0.083
these people are always unadventurous,-0.583,0.167
these people are always unaffectionate,0.083,-0.417
these people are always unambitious,-0.375,0.125
these people are always unassertive,-0.333,0.333
these people are always uncaring,-0.333,-0.833
these people are always uncompetitive,-0.625,0.125
these people are always uncooperative,-0.208,-0.708
these people are always uncreative,-0.833,0.083
these people are always undedicated,-0.5,-0.208
these people are always understanding,0.583,0.417
these people are always undiscriminating,-0.125,0.542
these people are always uneducated,-0.875,0.125
these people are always unenterprising,-0.875,0.042
these people are always unfair,-0.292,-0.792
these people are always unforgiving,0.0,-0.5
these people are always unfriendly,0.042,-0.708
these people are always unhelpful,-0.167,-0.167
these people are always unimaginative,-0.667,-0.333
these people are always unintelligent,-0.625,0.125
these people are always unkind,0.0,-0.75
these people are always unlikable,0.042,-0.333
these people are always unmotivated,-0.458,-0.167
these people are always unperceptive,-0.75,0.083
these people are always unpleasant,0.0,-0.292
these people are always unpopular,-0.292,-0.625
these people are always unprejudiced,-0.083,0.208
these people are always unreliable,-0.458,-0.583
these people are always unreserved,0.333,0.417
these people are always unsociable,-0.208,-0.792
these people are always unsocial,0.042,-0.75
these people are always unsupportive,-0.375,-0.5
these people are always unsympathetic,0.083,-0.542
these people are always untroubled,-0.292,0.042
these people are always untrustworthy,-0.083,-0.583
these people are always untruthful,0.0,-0.5
these people are always unwavering,0.333,-0.083
these people are always unwise,-0.583,-0.167
these people are always vicious,0.25,-0.708
these people are always virtuous,-0.042,0.875
these people are always vulnerable,-0.5,0.5
these people are always warm,0.0,0.958
these people are always wavering,-0.708,0.042
these people are always welcoming,-0.125,0.792
these people are always wise,0.875,0.417
these people are always wrong,-0.833,-0.125
